#,Dự án,Kiểu vấn đề,Tác vụ cha,Parent task subject,Trạng thái,Mức ưu tiên,Chủ đề,Tác giả,Phân công cho,Cập nhật,Chủ đề,Phiên bản,Bắt đầu,Hết hạn,Thời gian ước lượng,Total estimated time,Thời gian,Tổng thời gian sử dụng,Tiến độ,Tạo,Đã đóng,Last updated by,Liên quan,Tập tin,Phân loại lỗi,Mã testcase,Số lần làm lại,Riêng tư,Mô tả,Last notes
5794,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Cập nhật/ Export: Nhập Id mapping khác định dạng số -> Báo lỗi hệ thống,Thu Hương Đỗ,Bùi Minh Tuấn,07-09-2023 16:46,"","",07-09-2023,"","","",0.00,0.00,0,07-09-2023 16:04,07-09-2023 16:46,Thu Hương Đỗ,"","clipboard-202309071604-ruext.png
clipboard-202309071604-aq4m2.png",Lỗi BE,2.5. QLF - Cập nhật/ Export,,Không,"Cập nhật/ Export: Nhập Id mapping khác định dạng số

HT: Báo lỗi hệ thống
MM: Thông báo lỗi trong file trả về: ''Id mapping không tồn tại''

-> Với: Xoá/Cập nhật/export, nếu nhập Id không tồn tại thì trả về lỗi trong file trả về: '' Id mapping không tồn tại''

!clipboard-202309071604-ruext.png!

!clipboard-202309071604-aq4m2.png!
",""
5792,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Thêm mới: Nhập Trạng thái khác 0.1 -> Báo lỗi ,Thu Hương Đỗ,Bùi Minh Tuấn,07-09-2023 16:49,"","",07-09-2023,"","","",0.00,0.00,0,07-09-2023 15:24,07-09-2023 16:49,Thu Hương Đỗ,"",clipboard-202309071524-gf35s.png,Lỗi BE,2.5. QLF -Thêm mới,,Không,"Thêm mới: Nhập Trạng thái khác 0.1

HT: Báo lỗi trường Trạng thái
MM: K báo lỗi trường Trạng thái
-> Validate Trạng thái nhập khác 0.1 chỉ áp dụng với CẬP NHẬT/EXPORT

!clipboard-202309071524-gf35s.png!
",""
5786,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Thêm mới: Nhập Mã cửa hàng hợp lệ -> Thông tin lưu DB: Shop_id  = null,Thu Hương Đỗ,Bùi Minh Tuấn,07-09-2023 14:53,"","",07-09-2023,"","","",0.00,0.00,0,07-09-2023 13:54,07-09-2023 14:53,Thu Hương Đỗ,"","clipboard-202309071354-dltbu.png
clipboard-202309071354-dg281.png",Lỗi BE,2.5. QLF - Thêm mới,,Không,"Thêm mới: Nhập Mã cửa hàng hợp lệ

HT: Thông tin lưu DB chưa chính xác: Shop_id = null
MM: Lưu đúng thông tin

!clipboard-202309071354-dltbu.png!

!clipboard-202309071354-dg281.png!
",""
5785,PYC_4177291,Bug,"","",Hoàn Thành,Làm ngay,[2.5. QLF] Cập nhật: Bỏ trống Trạng thái -> Báo import thành công,Thu Hương Đỗ,Bùi Minh Tuấn,07-09-2023 14:57,"","",07-09-2023,"","","",0.00,0.00,0,07-09-2023 11:44,07-09-2023 14:57,Thu Hương Đỗ,"","clipboard-202309071144-6cwft.png
clipboard-202309071144-p2cdx.png",Lỗi BE,2.5. QLF - Cập nhật,,Không,"Cập nhật: Bỏ trống Trạng thái 

HT: Thông báo import thành công
MM: Thông báo lỗi tại trường Trạng thái trong file trả về: 
        ''Chưa nhập dữ liệu''

-> Validate bỏ trống trường trạng thái chỉ áp dụng với Thao tác Cập nhật

!clipboard-202309071144-6cwft.png!

!clipboard-202309071144-p2cdx.png!
",""
5781,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Cập nhật bản ghi k hoạt động -> Thông báo lỗi Id mapping k tồn tại,Thu Hương Đỗ,Bùi Minh Tuấn,07-09-2023 14:58,"","",07-09-2023,"","","",0.00,0.00,0,07-09-2023 11:04,07-09-2023 14:58,Thu Hương Đỗ,"","clipboard-202309071104-mewau.png
clipboard-202309071104-sceli.png",Lỗi BE,2.5. QLF,,Không,"Cập nhật bản ghi k hoạt động

HT: Thông báo lỗi Id mapping k tồn tại
MM: Cho phép cập nhật bản ghi k hoạt động

!clipboard-202309071104-mewau.png!

!clipboard-202309071104-sceli.png!
",""
5779,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,"[2.5. QLF] Cập nhật: Nhập Mã cửa hàng, Mã nhân viên hợp lệ -> Thông tin lưu DB: Shop_id và Staff_id = null",Thu Hương Đỗ,Bùi Minh Tuấn,07-09-2023 14:56,"","",07-09-2023,"","","",0.00,0.00,0,07-09-2023 10:57,07-09-2023 14:56,Thu Hương Đỗ,"","clipboard-202309071057-et6ms.png
clipboard-202309071057-absip.png",Lỗi BE,2.5. QLF - Cập nhật,,Không,"Cập nhật: Nhập Mã cửa hàng, Mã nhân viên hợp lệ

HT: Thông tin lưu DB chưa chính xác: Shop_id và Staff_id = null
MM: Lưu đúng thông tin

!clipboard-202309071057-et6ms.png!

!clipboard-202309071057-absip.png!
",""
5774,PYC_4177291,Bug,"","",Hoàn Thành,Làm ngay,[2.5. QLF] Thêm mới: Bỏ trống các trường bắt buộc -> Báo lỗi hệ thống,Thu Hương Đỗ,Bùi Minh Tuấn,07-09-2023 11:16,"","",07-09-2023,"","","",0.00,0.00,0,07-09-2023 09:49,07-09-2023 11:16,Thu Hương Đỗ,"","clipboard-202309070947-3jgmh.png
clipboard-202309070947-avmd2.png",Lỗi BE,2.5. QLF - Thêm mới,,Không,"Thêm mới: Bỏ trống các trường bắt buộc

HT: Báo lỗi hệ thống
MM: Thông báo lỗi bỏ trống tại mỗi trường bắt buộc:
     ''Chưa nhập dữ liệu''

!clipboard-202309070947-3jgmh.png!

!clipboard-202309070947-avmd2.png!
",""
5770,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Cập nhật: Nhập hợp lệ các trường -> Báo lỗi trường trạng thái,Thu Hương Đỗ,Bùi Minh Tuấn,07-09-2023 10:45,"","",06-09-2023,"","","",0.00,0.00,0,06-09-2023 18:57,07-09-2023 10:45,Thu Hương Đỗ,"",clipboard-202309061856-uobv7.png,Lỗi BE,2.5. QLF - Cập nhật,,Không,"Cập nhật: Nhập hợp lệ các trường

HT: Báo lỗi trường trạng thái
MM: K báo lỗi. Update thông tin vào DB

!clipboard-202309061856-uobv7.png!
",""
5768,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Export: Nhập hợp lệ các trường -> Báo lỗi trường Mã tác động k tồn tại,Thu Hương Đỗ,Bùi Minh Tuấn,07-09-2023 11:50,"","",06-09-2023,"","","",0.00,0.00,0,06-09-2023 18:10,07-09-2023 11:50,Thu Hương Đỗ,"","clipboard-202309061810-fzrqy.png
clipboard-202309061810-qgjjb.png",Lỗi BE,xport,,Không,"Export: Nhập hợp lệ các trường

HT: Báo lỗi trường Mã tác động k tồn tại
MM: Trả về file export thỏa mãn

!clipboard-202309061810-fzrqy.png!

!clipboard-202309061810-qgjjb.png!
",""
5760,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Export: Nhập Mã nhân viên/ Mã cửa hàng k tồn tại hoặc k hoạt động -> Báo lỗi,Thu Hương Đỗ,Bùi Minh Tuấn,07-09-2023 13:15,"","",06-09-2023,"","","",0.00,0.00,0,06-09-2023 15:31,07-09-2023 13:15,Thu Hương Đỗ,"",clipboard-202309061528-fjauq.png,Lỗi BE,2.5. QLF - Export,,Không,"Export: Nhập Mã nhân viên/ Mã cửa hàng k tồn tại hoặc k hoạt động

HT: Báo lỗi Mã nhân viên/ mã cửa hàng k tồn tại hoặc k hoạt động
MM: K validate Mã nhân viên/ mã cửa hàng k tồn tại hoặc k hoạt động

!clipboard-202309061528-fjauq.png!
",""
5758,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Export: Bỏ trống Trạng thái -> Báo lỗi bỏ trống Trạng thái tại trường Loại dịch vụ,Thu Hương Đỗ,Bùi Minh Tuấn,07-09-2023 13:18,"","",06-09-2023,"","","",0.00,0.00,0,06-09-2023 15:13,07-09-2023 13:18,Thu Hương Đỗ,"","clipboard-202309061513-zwqw9.png
clipboard-202309061513-h5tdw.png",Lỗi BE,QLF - Export,,Không,"Export: Bỏ trống Trạng thái

HT: Báo lỗi bỏ trống Trạng thái tại trường Loại dịch vụ
MM: K báo lỗi bỏ trống. Trả về fiel export thỏa mãn

!clipboard-202309061513-zwqw9.png!

!clipboard-202309061513-h5tdw.png!
",""
5756,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Xóa/ Export: Nhập Ngày hết hạn/ Ngày hiệu lực k tồn tại -> Import thành công,Thu Hương Đỗ,Bùi Minh Tuấn,07-09-2023 13:26,"","",06-09-2023,"","","",0.00,0.00,0,06-09-2023 14:05,07-09-2023 13:26,Thu Hương Đỗ,"","clipboard-202309061404-gzmg7.png
clipboard-202309061404-lqpwj.png
clipboard-202309061404-kpeql.png
clipboard-202309061405-jq1ui.png",Lỗi BE,2.5. QLF- Xóa/ Export,,Không,"Xóa/ Export: Nhập Ngày hết hạn/ Ngày hiệu lực k tồn tại 

HT: Xóa/ Export thành công
MM: Thông báo lỗi trong file trả về:
      - Ngày hiệu lực không hợp lệ
      - Ngày hết hạn không hợp lệ

!clipboard-202309061404-gzmg7.png!
!clipboard-202309061404-lqpwj.png!

!clipboard-202309061404-kpeql.png!
!clipboard-202309061405-jq1ui.png!
",""
5753,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Cập nhật: Bỏ trống ÌD mapping -> Báo lỗi hệ thống,Thu Hương Đỗ,Bùi Minh Tuấn,06-09-2023 15:52,"","",06-09-2023,"","","",0.00,0.00,0,06-09-2023 12:02,06-09-2023 15:52,Thu Hương Đỗ,"","clipboard-202309061202-opzeh.png
clipboard-202309061202-1ehbz.png",Lỗi BE,2.5. QLF,,Không,"Cập nhật: Bỏ trống ÌD mapping

HT: Báo lỗi hệ thống
MM: Thông báo lỗi tại trường ID mapping trong file trả về:
         ''Chưa nhập dữ liệu''

!clipboard-202309061202-opzeh.png!

!clipboard-202309061202-1ehbz.png!
",""
